DDPF;Diámetro Fruto (mm)
9;6
9;4,5
9;4,1
9;3,5
9;4
9;4,8
9;3,4
9;3,6
13;7,1
13;6,5
13;5,1
13;4,1
13;5,5
13;6
13;4,2
13;4,6
13;5,1
13;4,5
13;7
13;6,5
13;5,9
13;6,2
13;5,3
16;10
16;7,2
16;6,7
16;7,3
16;7
16;8
16;5,2
16;5,5
16;6,9
16;5,5
16;9
16;8
16;7,1
16;9,7
16;8,1
16;5,9
20;12
20;10,9
20;8,7
20;9,9
20;9,6
20;12
20;7,2
20;6
20;9,1
20;7,3
20;11,9
20;10,5
20;10
20;12,9
20;11
20;8,9
22;13,7
22;11,8
22;10,2
22;12
22;11
22;13,1
22;10,9
22;4,9
22;11
22;8,9
22;13
22;12
22;11,1
22;16
22;11
22;10
25;14
25;13
25;11,5
25;13,2
25;11
25;14,8
25;12
25;8,7
25;12
25;10,5
25;13,3
25;13,8
25;12,8
25;13,1
25;13,3
25;12
27;14
27;13,2
27;11,8
27;13,5
27;11,2
27;15
27;12,1
27;9,1
27;12,6
27;11,2
27;13,3
27;14
27;13
27;14
27;13,3
27;12,8
31;14,2
31;14
31;13,8
31;14,2
31;13,5
31;15,5
31;14,1
31;11,2
31;13,4
31;13
31;13,2
31;15
31;13,9
31;15
31;15,2
31;14,1
34;14
34;14,2
34;14,7
34;14,9
34;14,2
34;16
34;14,5
34;12,1
34;14,1
34;14,6
34;13,7
34;14,9
34;14,4
34;14,9
34;15,8
34;15,1
37;14,8
37;14,2
37;15,7
37;15,1
37;14,7
37;16
37;14,8
37;14
37;14,5
37;15,3
37;13,8
37;15,3
37;14,9
37;15,1
37;16,1
37;15,9
38;14,8
38;14,3
38;15,4
38;15,1
38;14,7
38;16
38;14,8
38;13,9
38;14,4
38;15,7
38;13,8
38;15,5
38;14,8
38;15,2
38;16,2
38;16,1
41;15,1
41;14,8
41;16,1
41;16,6
41;15,1
41;16,3
41;15,1
41;15,3
41;14,7
41;16
41;14
41;15,9
41;15
41;15,5
41;15,5
41;16,2
43;15,2
43;15,1
43;16,3
43;15,8
43;15,5
43;16,7
43;15,2
43;16
43;15
43;16,6
43;14,9
43;16,1
43;15,3
43;15,8
43;15,7
43;16,8
45;15,6
45;15,3
45;16,7
45;16,1
45;15,9
45;16,8
45;15,3
45;16,3
45;15,1
45;16,7
45;15,2
45;16,2
45;15,7
45;16,1
45;15,8
45;16,8
48;16,1
48;15,9
48;17
48;16,3
48;16,1
48;17,1
48;15,7
48;16,9
48;15,3
48;17
48;15,7
48;16,8
48;15,9
48;16,5
48;17,2
48;16,8
50;16,6
50;16,2
50;17,2
50;16,7
50;16,8
50;17,3
50;15,7
50;17,3
50;15,4
50;17,2
50;15,9
50;16,9
50;16,1
50;16,7
50;17,8
50;17,9
52;16,9
52;16,9
52;17,8
52;17,1
52;16,8
52;17,9
52;16,1
52;17,3
52;16
52;17,8
52;16,9
52;17,3
52;16,7
52;17,1
52;18,3
52;18,8
55;17,2
55;17,8
55;18,2
55;17,3
55;17,3
55;18,9
55;16,6
55;17,7
55;16,3
55;18,6
55;18,4
55;18
55;17,1
55;17,9
55;18,9
55;20
57;18
57;18,7
57;18,8
57;17,8
57;17,8
57;19,1
57;17,8
57;18,1
57;16,9
57;19
57;18,7
57;18,2
57;18
57;18,2
57;19,2
57;20,8
59;18,8
59;19,1
59;19,2
59;18,1
59;18,2
59;19,9
59;17,9
59;19,2
59;17,3
59;19,5
59;19,2
59;18,9
59;19
59;18,7
59;20
59;21,2
62;19,7
62;20
62;20
62;18,7
62;18,8
62;20,3
62;18,3
62;19,2
62;17,6
62;20,1
62;20
62;19,4
62;19,7
62;19
62;20,2
62;22
64;20,3
64;21,1
64;21,1
64;19,7
64;19,5
64;21,3
64;18,3
64;19,3
64;18,8
64;21,1
64;20,9
64;20,1
64;20
64;19,8
64;20,9
64;22,4
66;22,1
66;22,8
66;21,8
66;20,3
66;20,3
66;22,1
66;19,6
66;20,9
66;19,7
66;21,8
66;23
66;21,1
66;21,8
66;20,8
66;22,5
66;24
70;25
70;25,1
70;23,1
70;22,2
70;21,4
70;24
70;19,8
70;21,1
70;21,1
70;23,1
70;25,4
70;22,8
70;23
70;23,4
70;24,7
70;26,1
73;26
73;27
73;24,9
73;24,1
73;23
73;26,8
73;21
73;22,6
73;23
73;25,1
73;27,1
73;25,3
73;26
73;26,1
73;27,8
73;28
75;28
75;27,7
75;26
75;25,3
75;24,3
75;28
75;21,3
75;24
75;24
75;25,3
75;27,7
75;26,5
75;26,1
75;27,1
75;28,9
75;28,5
77;28,2
77;28,5
77;27,4
77;27,1
77;25,8
77;29,1
77;23
77;24
77;25
77;27,2
77;28,8
77;27,8
77;27,8
77;28
77;29,8
77;29,2
80;28,8
80;29,2
80;29,5
80;29
80;27,3
80;30,5
80;25
80;26,1
80;26,4
80;28,3
80;30,2
80;29,5
80;28,5
80;29,1
80;31,1
80;30
83;29,3
83;30
83;30,4
83;31
83;29,1
83;31,6
83;27,1
83;27
83;27,8
83;29,4
83;31,3
83;30,3
83;29,7
83;30,2
83;32
83;31,1
85;30,1
85;30
85;30,8
85;31,2
85;29,7
85;32
85;28
85;27,6
85;28,1
85;29,7
85;31,6
85;30,7
85;30
85;30,4
85;32,8
85;31,1
87;30,1
87;30,2
87;31,5
87;32
87;30
87;32,2
87;29
87;28,2
87;28,8
87;30
87;32,1
87;31
87;30,2
87;30,7
87;32,8
87;31,7
92;30,7
92;32,3
92;32,6
92;31
92;32,8
92;30,4
92;28,5
92;29,9
92;30
92;32,8
92;31,5
92;30,7
92;31,2
92;32,8
92;31,8
